Latitude,Longitude,ListingType,ListingPrice,FloorSize,TimeOnMarket
40.72098,-73.84085,Apartment for rent,"$2,300/mo","1,000",17 days ago
40.735215,-73.851107,Apartment for rent,"$1,742/mo",572,17 days ago
40.7392,-73.7924,Apartment for rent,"$1,750/mo",800,17 days ago
40.72231,-73.84153,Apartment for rent,"$2,000/mo",700,17 days ago
40.7494,-73.85788,Apartment for rent,"$2,100/mo",--,17 days ago
40.73656,-73.79922,Apartment for rent,"$2,275/mo",--,17 days ago
40.739275,-73.849807,Apartment for rent,"$2,400/mo","1,100",17 days ago
40.72592,-73.8191,Apartment for rent,"$2,000/mo",940,17 days ago
40.744691,-73.859021,Apartment for rent,"$3,850/mo",--,18 days ago
40.724636,-73.839419,Apartment for rent,"$2,675/mo","1,200",18 days ago
40.738781,-73.79678,Apartment for rent,"$3,500/mo",--,18 days ago
40.74139,-73.85519,Apartment for rent,"$1,800/mo",--,18 days ago
40.722401,-73.818853,Apartment for rent,"$2,350/mo",900,18 days ago
40.725397,-73.809969,Apartment for rent,"$2,000/mo",--,18 days ago
40.73674,-73.80372,Apartment for rent,"$2,500/mo","1,100",18 days ago
40.719865,-73.838181,Apartment for rent,"$2,700/mo","1,250",18 days ago
40.725183,-73.846055,Apartment for rent,"$2,200/mo",950,18 days ago
40.731969,-73.854157,Apartment for rent,"$1,995/mo",799,18 days ago
40.74139,-73.85519,Apartment for rent,"$1,799/mo",--,18 days ago
40.72097,-73.84288,Apartment for rent,"$1,700/mo",491,18 days ago
40.722121,-73.810124,Apartment for rent,"$2,500/mo",--,18 days ago
40.7527,-73.8228,Townhouse for rent,"$2,050/mo",153,18 days ago
40.742572,-73.825315,House for rent,"$2,050/mo","1,100",18 days ago
40.73164,-73.82619,House for rent,"$3,500/mo",--,18 days ago
40.736612,-73.805946,Apartment for rent,"$1,250/mo",500,18 days ago
40.72203,-73.81931,Apartment for rent,"$2,350/mo",--,19 days ago
40.726812,-73.814036,Apartment for rent,"$1,825/mo",--,19 days ago
40.726335,-73.815161,Apartment for rent,"$2,025/mo",--,19 days ago
40.725708,-73.816563,Apartment for rent,"$1,800/mo",800,19 days ago
40.720094,-73.814233,Apartment for rent,"$1,685/mo",795,19 days ago
40.723129,-73.857527,Apartment for rent,"$1,750/mo",--,19 days ago
40.730068,-73.807976,Condo for rent,"$2,350/mo",--,19 days ago
40.719205,-73.8253,Apartment for rent,"$1,800/mo",750,19 days ago
40.739784,-73.795784,Apartment for rent,"$2,695/mo",--,19 days ago
40.74139,-73.85519,Apartment for rent,"$1,800/mo",--,20 days ago
40.719863,-73.841434,Apartment for rent,"$1,950/mo",700,20 days ago
40.73968,-73.85731,House for rent,"$1,900/mo",900,20 days ago
40.73878,-73.7955,Apartment for rent,"$2,700/mo",--,20 days ago
40.728603,-73.807228,Apartment for rent,"$2,600/mo",--,20 days ago
40.74139,-73.85519,Apartment for rent,"$1,799/mo",--,20 days ago
40.724317,-73.821032,Apartment for rent,"$2,075/mo","1,025",20 days ago
40.74096,-73.813988,House for rent,"$2,500/mo","1,075",20 days ago
40.725605,-73.82879,Apartment for rent,"$1,750/mo",660,20 days ago
40.72317,-73.82048,House for rent,"$1,200/mo",650,21 days ago
40.726233,-73.818845,Apartment for rent,"$1,994/mo",--,21 days ago
40.74614,-73.82718,Apartment for rent,"$1,600/mo","1,640",21 days ago
40.72726,-73.81978,Apartment for rent,"$2,300/mo",--,22 days ago
40.720145,-73.818649,Apartment for rent,"$2,000/mo",--,22 days ago
40.735062,-73.857331,Apartment for rent,"$2,600/mo",--,22 days ago
40.72455,-73.85151,Apartment for rent,"$2,850/mo",--,23 days ago
40.72165,-73.84119,Apartment for rent,"$1,650/mo",--,23 days ago
40.719442,-73.851434,Apartment for rent,"$1,750/mo",--,23 days ago
40.74139,-73.85519,Apartment for rent,"$1,799/mo",--,23 days ago
40.72234,-73.80986,Apartment for rent,"$1,800/mo",--,23 days ago
40.7367,-73.80282,Apartment for rent,"$2,500/mo",--,23 days ago
40.72422,-73.817891,Apartment for rent,"$2,195/mo",--,23 days ago
40.739644,-73.805295,Apartment for rent,"$1,650/mo",--,23 days ago
40.725403,-73.845963,Apartment for rent,"$2,300/mo",975,23 days ago
40.724941,-73.814682,Apartment for rent,"$1,810/mo",916,23 days ago
40.73095,-73.85113,Apartment for rent,"$1,875/mo",760,24 days ago
40.726058,-73.854633,Apartment for rent,"$4,200/mo","1,800",24 days ago
40.724596,-73.807016,Apartment for rent,"$2,600/mo",--,24 days ago
40.72402,-73.82032,Apartment for rent,"$1,806/mo",--,24 days ago
40.74139,-73.85519,Apartment for rent,"$2,599/mo",--,24 days ago
40.74139,-73.85519,Apartment for rent,"$1,799/mo",--,24 days ago
40.73916,-73.79394,Apartment for rent,"$2,200/mo",--,24 days ago
40.72065,-73.808538,Apartment for rent,"$2,000/mo",900,24 days ago
40.7266,-73.81424,Condo for rent,"$1,800/mo",760,24 days ago
40.7266,-73.81424,Apartment for rent,"$2,100/mo",700,25 days ago
40.72131,-73.84205,Apartment for rent,"$4,000/mo",491,25 days ago
40.723315,-73.848673,Apartment for rent,"$2,685/mo",875,25 days ago
40.744654,-73.828739,Apartment for rent,"$2,100/mo",850,25 days ago
40.73861,-73.857004,House for rent,"$2,700/mo","1,000",25 days ago
40.724463,-73.803989,Apartment for rent,"$2,400/mo",900,25 days ago
40.749517,-73.821413,Apartment for rent,"$2,480/mo","1,000",25 days ago
40.739998,-73.855791,Apartment for rent,"$1,700/mo",650,25 days ago
40.726549,-73.840856,Apartment for rent,"$7,000/mo",--,25 days ago
40.726306,-73.815256,Apartment for rent,"$2,025/mo",800,26 days ago
40.726341,-73.815142,Apartment for rent,"$2,075/mo",900,26 days ago
40.72656,-73.814211,Apartment for rent,"$2,100/mo",900,26 days ago
40.726539,-73.817041,Apartment for rent,"$2,075/mo",800,26 days ago
40.7247,-73.82331,Apartment for rent,"$1,500/mo",700,26 days ago
40.728519,-73.817832,Apartment for rent,"$1,400/mo",400,26 days ago
40.73919,-73.82178,House for rent,"$2,200/mo",--,26 days ago
40.752346,-73.806568,Apartment for rent,"$2,995/mo","1,400",26 days ago
40.74139,-73.85519,Apartment for rent,"$2,499/mo",--,26 days ago
40.74139,-73.85519,Apartment for rent,"$1,800/mo",--,26 days ago
40.74188,-73.85457,Apartment for rent,"$2,699/mo",--,26 days ago
40.73479,-73.8608,Apartment for rent,"$2,600/mo","1,200",26 days ago
40.746142,-73.856743,Apartment for rent,"$3,200/mo",--,26 days ago
40.72069,-73.81866,Apartment for rent,"$2,000/mo","34,329",26 days ago
40.73333,-73.82512,House for rent,"$4,000/mo","1,300",26 days ago
40.719342,-73.852003,Apartment for rent,"$1,800/mo",900,27 days ago
40.74543,-73.8273,Apartment for rent,"$1,700/mo",600,27 days ago
40.72529,-73.81358,Apartment for rent,"$1,800/mo",700,27 days ago
40.73906,-73.86286,Apartment for rent,"$1,900/mo",--,27 days ago
40.72046,-73.82585,Apartment for rent,"$1,950/mo",--,27 days ago
40.743153,-73.794315,House for rent,"$2,400/mo","1,100",27 days ago
40.729065,-73.803002,Apartment for rent,"$1,550/mo",650,27 days ago
40.729144,-73.806697,Condo for rent,"$2,480/mo",--,27 days ago
40.726096,-73.81216,Apartment for rent,"$2,025/mo",790,27 days ago
40.72364,-73.80467,Apartment for rent,"$1,700/mo",--,27 days ago
40.72412,-73.80234,Apartment for rent,"$2,500/mo","1,300",27 days ago
40.726537,-73.8142,Apartment for rent,"$2,100/mo",900,27 days ago
40.724727,-73.826477,Apartment for rent,"$2,025/mo",885,27 days ago
